roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason,k_ref_free_coef,k_ref_free_coef_ci_low,k_ref_free_coef_ci_high,k_ref_coef_fast,k_ref_coef_fast_ci_low,k_ref_coef_fast_ci_high,k_ref_tau_fast,k_ref_tau_fast_ci_low,k_ref_tau_fast_ci_high,k_ref_coef_slow,k_ref_coef_slow_ci_low,k_ref_coef_slow_ci_high,k_ref_tau_slow,k_ref_tau_slow_ci_low,k_ref_tau_slow_ci_high,k_ref_gof,k_ref_percent_fast,k_ref_fit_available,k_ref_fit_any_value_present,k_ref_fitted_peak_component,k_ref_fit_amplitude_relative_difference,csf_amplitude,csf_half_width,csf_peak_location,csf_integral,csf_peak_count,csf_multiple_responses,csf_response_detected,csf_free_coef,csf_free_coef_ci_low,csf_free_coef_ci_high,csf_coef_fast,csf_coef_fast_ci_low,csf_coef_fast_ci_high,csf_tau_fast,csf_tau_fast_ci_low,csf_tau_fast_ci_high,csf_coef_slow,csf_coef_slow_ci_low,csf_coef_slow_ci_high,csf_tau_slow,csf_tau_slow_ci_low,csf_tau_slow_ci_high,csf_gof,csf_percent_fast,csf_fit_available,csf_fit_any_value_present,csf_fitted_peak_component,csf_fit_amplitude_relative_difference
ROI_001,B,4.132504981519288,22.884204303219718,204.0,145.73483504474277,1,False,True,0.07789142407553108,False,False,,0.06175741972680309,-1.4130412438085902,1.5365560832621965,4.198517979491505,0.7397389034360593,7.65729705554695,28.455555673236038,17.79275575926447,39.1183555872076,1.7909751857098045e-05,-2.0728027697130478,2.072838589216762,100.00045211443519,-29575701.18548007,29575901.1863843,0.9968273641308668,0.999995734286349,True,True,4.198535889243361,0.015978421809378546,2.4763201417878147,18.055572460537633,404.0,53.49958248288325,1,False,True,7.09083665794151e-08,-0.014270675859675166,0.014270817676408325,2.830691002299086,2.7821231441253955,2.8792588604727767,16.63445911341777,16.137859033619613,17.131059193215926,1.2535910448485858e-09,,,100.00000132034275,-1671598524.9391057,1671598724.9391086,0.9875474155595892,0.9999999995571431,True,True,2.830691003552677,0.14310381593432395
ROI_002,C,2.346396923598419,17.9298241909448,204.0,60.76175308653334,1,False,True,0.0952006294256491,False,False,,0.04471788380979678,-633.2813118689998,633.3707476366193,2.528793140371761,2.230458492180583,2.8271277885629393,16.834815209400848,14.646294020177027,19.023336398624668,0.008393669168859195,-633.0110466125323,633.02783395087,3131.1946021255626,-243735940.24374828,243742202.63295254,0.9909928846497086,0.9966917417600878,True,True,2.5371868095406205,0.08131185479463013,1.034617996001099,13.775791556675074,404.0,19.35303098851366,1,False,True,0.007619439591341453,-0.033288065647818436,0.048526944830501344,1.1562839455987957,1.1156462392890985,1.1969216519084929,12.570237497580301,11.8857599896136,13.254715005547002,0.0012624796187180429,-0.02170329645683062,0.024228255694266704,110.71633134633578,-10261.09162080631,10482.52428349898,0.9919982408136088,0.99890934860908,True,True,1.1575464252175136,0.11881528225059404
ROI_003,D,6.263296219929233,9.635272258117482,203.0,136.56782578421013,1,False,True,0.013375295043273014,False,False,,1.9799602009986774e-09,,,5.94386057770572,5.765319377201346,6.122401778210094,7.050517520132889,6.605310747525857,7.495724292739921,1.0502570298265983,0.9079771273191908,1.1925369323340058,104.3980347682431,79.67756139590115,129.11850814058502,0.9871914978570118,0.8498370932888627,True,True,6.994117607532318,0.11668319075787585,3.479419347158211,10.227863127851265,403.0,51.27683886619026,1,False,True,0.0076020054086139354,-1.0331360804900422,1.04834009130727,3.837539737511303,3.7601052289686785,3.914974246053928,9.07675248666386,8.693728697529641,9.45977627579808,0.03833144379294793,-0.9472157343084691,1.023878621894365,351.84215045183356,-12963.92072479816,13667.605025701827,0.9892489288600486,0.9901102379310632,True,True,3.8758711813042512,0.11394195254729474
ROI_004,E,4.667348027558255,12.775320960330504,204.0,96.06398365736837,1,False,True,0.11801730920535011,False,False,,0.08900485655730415,-404.5180633225308,404.69607303564544,4.782910291382763,4.656147628611876,4.909672954153649,12.487346399669844,12.00203361829557,12.972659181044119,0.06204975345383612,-404.41396139959454,404.5380609065022,3371.9148256547032,-22566820.60466333,22573564.434314642,0.9982343117959844,0.9871929277270378,True,True,4.844960044836599,0.038054161855862835,2.4355168801878584,14.078715341892575,403.0,43.43496432746456,1,False,True,1.204878847140174e-06,-0.027179188119464903,0.02718159787715918,2.7914256445101158,2.740419434986891,2.8424318540333404,13.507178685606801,13.088005026576102,13.9263523446375,6.523811795567373e-09,,,100.00010550234661,-1103682246.501976,1103682446.5021873,0.9890592741369434,0.9999999976629105,True,True,2.7914256510339275,0.14613274649881172
ROI_005,F,4.415486664117939,10.662048759901097,204.0,77.23338002367998,1,False,True,0.06058221872541306,False,False,,1.874221071097737e-10,,,4.2444870144149105,4.199321866420817,4.289652162409004,11.085827892167638,10.841896813895188,11.329758970440087,0.2195889511691518,0.19417950449397248,0.24499839784433114,100.000000003934,,,0.9972905974663477,0.9508097637983582,True,True,4.464075965584063,0.011004291296128349,2.421803397495237,10.084100672684713,403.0,34.923052488821476,1,False,True,0.020106327669223503,-0.020935256042393456,0.06114791138084046,2.5028175429744106,2.467348271363956,2.538286814584865,10.370744114488577,10.107288326278928,10.634199902698226,0.00020321026885932424,-0.022897540088216185,0.023303960625934837,110.9427009678351,-61047.1069598559,61268.99236179156,0.9975672002391224,0.999918813989618,True,True,2.50302075324327,0.0335358996655271
ROI_006,G,4.728940865391623,9.452686766658417,203.0,63.711059484155754,1,False,True,0.044846577498033044,False,False,,6.4558979386762595e-09,,,4.7758471255781405,4.725304416142186,4.826389835014095,10.056507286190605,9.850629970382968,10.262384601998242,0.08674255157300492,0.03577954413655707,0.13770555900945278,100.00494806604043,13.750566060672426,186.25933007140844,0.9988936408309894,0.982161243836674,True,True,4.862589677151146,0.02826189110073693,2.8075919179117506,10.278039912841393,403.0,156.4753909493292,1,False,True,0.4105348578756958,-18.17586590485898,18.996935620610373,2.555781578742483,2.513627467122504,2.597935690362462,7.847799051002832,7.608464407992173,8.087133694013492,1.2688382523994381e-05,-18.58662749190753,18.586652868672576,7856.087376742799,-11626609893.258492,11626625605.433247,0.9892889080799273,0.9999950354444851,True,True,2.5557942671250067,0.08968456176994113
ROI_007,H,3.734535032039969,14.45457423830075,204.0,83.07102714256148,1,False,True,0.2690794649881983,False,False,,0.04907807485180289,-14.19035121733966,14.288507367043266,3.6914506825122158,3.6086122436249384,3.774289121399493,15.963987092674998,15.559505323998579,16.368468861351417,0.044267223878446296,-14.10997953087526,14.198513978632151,890.9622828284026,-318177.008364698,319958.9329303548,0.999621385432432,0.9881502766034023,True,True,3.7357179063906623,0.0003167393907259878,,,,10.562382444799626,0,False,False,,,,,,,,,,,,,,,,,,False,False,,
ROI_008,I,5.244413849275475,13.245994004451774,204.0,88.21232171531626,1,False,True,0.04720692368214005,False,False,,0.032352039893932476,-87.29530886561338,87.36001294540125,5.56420815490081,5.349575811968394,5.778840497833227,12.19250086864741,11.501074808114176,12.883926929180646,0.005146112311510413,-87.10170122100338,87.1119934456264,1210.6456449530162,-22081333.692220483,22083754.983510386,0.9961317899554737,0.99907599479857,True,True,5.56935426721232,0.06195933945635067,2.6002842995972113,13.565758942644436,403.0,54.63586025359032,1,False,True,0.033473674138976395,-25.059448638641456,25.126395986919405,2.969118759611407,2.88865064179042,3.049586877432394,12.865852910943087,12.160667501316402,13.571038320569771,0.01168230713376753,-25.008844513372413,25.03220912763995,1611.0181725052166,-3747106.8910037507,3750328.9273487614,0.9865276420935485,0.996080816239601,True,True,2.9808010667451748,0.146336601427354
ROI_009,J,5.700334149884663,24.42043983526119,204.0,170.13019139692364,1,False,True,0.14240755310778913,False,False,,1.0116787768315772e-09,,,5.6322038935465955,5.518237934458131,5.7461698526350595,28.28256820404519,27.355352009465104,29.209784398625278,1.1730624474993578e-09,,,100.00000000493249,,,0.9832960094668161,0.9999999997917223,True,True,5.632203894719658,0.011951975686615357,3.0218902584841785,14.763921061106487,403.0,59.95451688763541,1,False,True,0.01379930859345712,-0.08356092110428665,0.1111595382912009,3.2610508683153805,3.1409714445413144,3.3811302920894466,15.370814571391673,14.652080381872926,16.089548760910418,0.0016735072885586317,-0.06212460544522965,0.06547162002234691,110.26639228967503,-19878.00106724033,20098.53385181968,0.9961238537274523,0.9994870828498197,True,True,3.262724375603939,0.07969651328124876
ROI_010,K,5.480452942740591,15.318603333345465,203.0,156.63087097300684,1,False,True,0.03619197482297404,False,False,,6.22453754681356e-09,,,4.594968748970226,4.465411327889929,4.724526170050523,13.881252149743018,13.031075070145008,14.731429229341028,1.1613370616965064,1.0706820612249632,1.2519920621680496,100.00000000047497,,,0.9862107274700755,0.7982495892514104,True,True,5.756305810666732,0.05033395429323701,2.8530989447681105,13.909019204942524,403.0,50.238697197209945,1,False,True,2.2295204654791272e-07,-0.012339726830955024,0.012340172735048121,3.1681539522580535,3.125248621204755,3.211059283311352,13.728609857596632,13.418775628134481,14.038444087058783,2.208986260620966e-09,,,100.00000803237405,-1066586648.3911457,1066586848.3911617,0.9926125802499575,0.9999999993027529,True,True,3.16815395446704,0.11042554632627219
