roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason
ROI_001,B,4.132504981519288,22.884204303219718,204.0,145.73483504474277,1,False,True,0.07789142407553108,False,False,
ROI_002,C,2.346396923598419,17.9298241909448,204.0,60.76175308653334,1,False,True,0.0952006294256491,False,False,
ROI_003,D,6.263296219929233,9.635272258117482,203.0,136.56782578421013,1,False,True,0.013375295043273014,False,False,
ROI_004,E,4.667348027558255,12.775320960330504,204.0,96.06398365736837,1,False,True,0.11801730920535011,False,False,
ROI_005,F,4.415486664117939,10.662048759901097,204.0,77.23338002367998,1,False,True,0.06058221872541306,False,False,
ROI_006,G,4.728940865391623,9.452686766658417,203.0,63.711059484155754,1,False,True,0.044846577498033044,False,False,
ROI_007,H,3.734535032039969,14.45457423830075,204.0,83.07102714256148,1,False,True,0.2690794649881983,False,False,
ROI_008,I,5.244413849275475,13.245994004451774,204.0,88.21232171531626,1,False,True,0.04720692368214005,False,False,
ROI_009,J,5.700334149884663,24.42043983526119,204.0,170.13019139692364,1,False,True,0.14240755310778913,False,False,
ROI_010,K,5.480452942740591,15.318603333345465,203.0,156.63087097300684,1,False,True,0.03619197482297404,False,False,
ROI_011,L,4.880571229755613,20.048367059840984,204.0,118.10563052322806,1,False,True,0.05507474429583006,False,False,
ROI_012,M,5.8300586009218724,17.189333148767872,204.0,163.20849991907193,1,False,True,0.14398111723052714,False,False,
ROI_013,N,6.063224254693868,16.490759715020374,204.0,172.35406506231243,1,False,True,0.0,False,False,
ROI_014,O,5.4708373211414445,24.786011911749057,204.0,220.4134787506382,1,False,True,0.07867820613690008,False,False,
ROI_015,P,4.964405305277004,14.999069305858256,204.0,146.1381284446913,1,False,True,0.03147128245476003,False,False,
ROI_016,Q,6.15545542039755,15.872803147861788,204.0,218.04931602207867,1,False,True,0.0015735641227380016,False,False,
ROI_017,R,2.8794518940401206,13.907983080051451,204.0,73.37684891382308,1,False,True,0.02753737214791503,False,False,
ROI_018,S,3.8536193465084305,15.563286914661177,204.0,97.96208802268372,1,False,True,0.04799370574350905,False,False,
ROI_019,T,3.110534589463938,17.548260012078572,204.0,95.93365949280704,1,False,True,0.02989771833202203,False,False,
ROI_020,U,6.176986518595245,13.962614130270623,204.0,116.23950861904223,1,False,True,0.22108575924468923,False,False,
ROI_021,V,5.747829745576287,15.455332750349129,205.0,208.17134040040114,1,False,True,0.03619197482297404,False,False,
ROI_022,W,6.228568353512244,20.47907616752329,204.0,238.05299350019789,1,False,True,0.021243115656963022,False,False,
ROI_023,X,5.9330758056107005,18.262276816727933,203.0,234.91075362918954,1,False,True,0.13453973249409915,False,False,
ROI_024,Y,5.030792240848572,15.12172678598381,204.0,179.57730748713035,1,False,True,0.10306845003933911,False,False,
ROI_025,Z,6.11286523018716,12.779772995605725,204.0,204.5234328112893,1,False,True,0.1982690794649882,False,False,
ROI_026,AA,5.609595735145511,17.25228910516344,204.0,124.31437500120246,1,False,True,0.12352478363493312,False,False,
ROI_027,AB,5.521313385332619,13.321090215372578,204.0,126.94951228657713,1,False,True,0.07081038552321008,False,False,
ROI_028,AC,5.056473606255312,13.214485236395603,204.0,97.44406329584703,1,False,True,0.03461841070023604,False,False,
ROI_029,AD,4.530204890892315,23.8676579867913,203.0,159.77121478285196,1,False,True,0.010228166797797011,False,False,
ROI_030,AE,5.1724644873405365,14.687914209683044,203.0,134.27653679059975,1,False,True,0.17466561762391816,False,False,
ROI_031,AF,4.977223944291301,10.68074395589025,204.0,79.4260382298241,1,False,True,0.022029897718332022,False,False,
ROI_032,AG,6.303577622974827,20.28050930834985,204.0,172.23016804054376,1,False,True,0.03147128245476003,False,False,
ROI_033,AH,3.6029238370860757,12.123572341801378,204.0,69.39427064290352,1,False,True,0.004720692368214005,False,False,
ROI_034,AI,4.312738103769984,11.161538036804103,204.0,72.61255668076133,1,False,True,0.15342250196695514,False,False,
ROI_035,AJ,4.666899282816968,12.447635147755022,204.0,79.7551506849621,1,False,True,0.0999213217938631,False,False,
ROI_036,AK,6.220509224647839,14.530908255389875,204.0,131.6753901152569,1,False,True,0.0,False,False,
ROI_037,AL,4.78751285584415,12.677348293635845,204.0,98.07557289610355,1,False,True,0.007867820613690008,False,False,
ROI_038,AM,4.156482226941027,19.139117183115786,204.0,102.83607998994097,1,False,True,0.07395751376868608,False,False,
ROI_039,AN,5.1640277772028895,10.938532515718208,204.0,81.5571834079268,1,False,True,0.07867820613690008,False,False,
ROI_040,AO,6.819824594940962,10.945326517740625,203.0,164.18295352242765,1,False,True,0.0055074744295830055,False,False,
ROI_041,AP,7.0254580606453345,12.920549351065574,204.0,136.62735298719053,1,False,True,0.0,False,False,
ROI_042,AQ,4.176941926845279,12.723059214633992,204.0,85.20955523843561,1,False,True,0.0967741935483871,False,False,
ROI_043,AR,4.8617066647046725,15.572292457674592,204.0,130.22267053684294,1,False,True,0.13847364280094415,False,False,
ROI_044,AS,5.532803815777182,12.954242614872328,204.0,138.04258395753635,1,False,True,0.003933910306845004,False,False,
ROI_045,AT,4.218526228013836,11.279029788559455,204.0,71.47186617272024,1,False,True,0.05586152635719906,False,False,
ROI_046,AU,2.330835300188856,11.204751068824692,204.0,48.55727262762715,1,False,True,0.16837136113296616,False,False,
ROI_047,AV,3.7480543353639533,13.754514555770072,205.0,81.6606691573141,1,False,True,0.1038552321007081,False,False,
ROI_048,AW,5.620617890229565,17.50251345658441,204.0,131.1893601598054,1,False,True,0.07710464201416208,False,False,
ROI_049,AX,6.320283070915228,14.966508585461924,203.0,186.52174080318275,1,False,True,0.006294256490952006,False,False,
ROI_050,AY,5.990428410138714,10.298148565919746,204.0,98.67546928862927,1,False,True,0.021243115656963022,False,False,
ROI_051,AZ,3.416665594322211,15.593122290753996,204.0,99.54031204201539,1,False,True,0.016522423288749016,False,False,
ROI_052,BA,3.007430227782394,16.9223535619779,204.0,92.26062918978823,1,False,True,0.12195121951219512,False,False,
ROI_053,BB,2.5924553918079076,16.51461565689408,204.0,74.78175177938914,1,False,True,0.2022029897718332,False,False,
ROI_054,BC,5.38669016712328,16.842886666188747,204.0,120.97321843219143,1,False,True,0.02753737214791503,False,False,
ROI_055,BD,5.673385419200393,14.00015215645098,204.0,107.2592400625999,1,False,True,0.0007867820613690008,False,False,
ROI_056,BE,5.411571047408957,14.55967828461769,204.0,114.97186182421183,1,False,True,0.03697875688434304,False,False,
ROI_057,BF,5.83657638994708,11.524171672150828,204.0,123.80729194939218,1,False,True,0.1093627065302911,False,False,
ROI_058,BG,5.50606874491916,15.009983433167548,204.0,103.56985081980017,1,False,True,0.03383162863886703,False,False,
ROI_059,BH,5.975196542166505,15.363869965571837,204.0,165.11384393124376,1,False,True,0.02753737214791503,False,False,
ROI_060,BI,2.9749193816403134,11.280669758810546,204.0,59.633311839744785,1,False,True,0.11014948859166011,False,False,
ROI_061,BJ,3.7172060634076334,12.776310090282152,204.0,81.15638693467582,1,False,True,0.1093627065302911,False,False,
ROI_062,BK,3.0983841815573494,14.582683627301037,204.0,77.48465243442624,1,False,True,0.044059795436664044,False,False,
ROI_063,BL,4.812091198666661,14.08783675603297,204.0,104.62453059399968,1,False,True,0.003147128245476003,False,False,
ROI_064,BM,1.827038798237885,21.12865478641251,205.0,58.48755843876646,1,False,True,0.5861526357199056,True,True,majority_negative_normalized_trace
ROI_065,BN,4.441631121229457,13.887541360303857,204.0,92.34509482477827,1,False,True,0.07789142407553108,False,False,
ROI_066,BO,3.8983497479446876,18.217417092195745,204.0,87.03483240790852,1,False,True,0.014948859166011016,False,False,
ROI_067,BP,5.170152654794514,12.970001859217234,204.0,94.82217958767093,1,False,True,0.010228166797797011,False,False,
ROI_068,BQ,5.19450214585884,12.22078013941561,204.0,88.766353772339,1,False,True,0.14634146341463414,False,False,
ROI_069,BR,4.8276665541330255,9.764322723055272,204.0,63.16616431353391,1,False,True,0.08418568056648308,False,False,
ROI_070,BS,2.013975032065043,17.129923063550365,204.0,55.72732178198086,1,False,True,0.17309205350118018,False,False,
ROI_071,BT,5.403960145846101,11.84948994352709,204.0,126.05934076515135,1,False,True,0.043273013375295044,False,False,
ROI_072,BU,5.27579507439152,12.825549876300585,204.0,109.04270420188209,1,False,True,0.06451612903225806,False,False,
ROI_073,BV,4.480074833681749,14.74215942847104,204.0,92.11813546468551,1,False,True,0.003147128245476003,False,False,
ROI_074,BW,5.656627820839801,13.453312818296922,204.0,112.18058671850648,1,False,True,0.0015735641227380016,False,False,
ROI_075,BX,6.935911926394383,8.841210509934257,203.0,130.65048487570908,1,False,True,0.0015735641227380016,False,False,
ROI_076,BY,2.6829144824381372,13.541749955740443,204.0,63.67855551941798,1,False,True,0.08103855232100708,False,False,
ROI_077,BZ,5.234190776276203,12.71880198273692,204.0,91.59018121383947,1,False,True,0.06294256490952006,False,False,
ROI_078,CA,3.8642761772852072,12.144636349778324,204.0,73.88119380347595,1,False,True,0.16994492525570418,False,False,
ROI_079,CB,4.521200458136787,13.437326283719756,204.0,91.74794950404969,1,False,True,0.3154996066089693,False,False,
ROI_080,CC,3.9210946711864363,15.195954984218531,204.0,80.51790093078161,1,False,True,0.015735641227380016,False,False,
ROI_081,CD,6.075833802643712,13.049140656302,204.0,138.95119416490112,1,False,True,0.043273013375295044,False,False,
ROI_082,CE,6.101575269170699,16.947022870050063,204.0,143.01778047877428,1,False,True,0.02989771833202203,False,False,
ROI_083,CF,5.946045315756862,14.938427676555648,204.0,142.32261810481066,1,False,True,0.08261211644374508,False,False,
ROI_084,CG,4.292943177455158,13.903715794627203,204.0,86.86348687958971,1,False,True,0.2682926829268293,False,False,
ROI_085,CH,6.584294857561418,9.580952213988326,203.0,114.72757425497633,1,False,True,0.04012588512981904,False,False,
ROI_086,CI,5.781007289706376,11.395360783395091,204.0,119.56787758854665,1,False,True,0.004720692368214005,False,False,
ROI_087,CJ,4.058095900969413,9.286219650130903,204.0,50.757952260346485,1,False,True,0.040912667191188044,False,False,
ROI_088,CK,2.4246145209303567,16.446281968289668,204.0,73.52554243343674,1,False,True,0.0904799370574351,False,False,
ROI_089,CL,4.703747554127202,16.579568384158335,204.0,113.18010347434316,1,False,True,0.0055074744295830055,False,False,
ROI_090,CM,4.4570169437440015,10.00924478402564,204.0,107.05559693814732,1,False,True,0.05271439811172305,False,False,
ROI_091,CN,3.510750857814299,15.34203470857338,204.0,92.5680226420013,1,False,True,0.3878835562549174,False,False,
ROI_092,CO,3.40635120550852,15.992198971444935,204.0,84.61844030500285,1,False,True,0.003933910306845004,False,False,
ROI_093,CP,4.300172688154845,19.278796490211107,204.0,143.3425440611525,1,False,True,0.05114083398898505,False,False,
ROI_094,CQ,3.4863542877745393,15.12195737344706,204.0,97.54564183730713,1,False,True,0.0983477576711251,False,False,
ROI_095,CR,6.131215672816587,11.562767205375167,203.0,203.1271532081771,1,False,True,0.25727773406766324,False,False,
ROI_096,CS,4.168490841122454,14.957238666254483,204.0,105.91545472690073,1,False,True,0.12509834775767112,False,False,
ROI_097,CT,3.2640784017743423,12.307099995332266,204.0,59.8817930522781,1,False,True,0.08969315499606609,False,False,
ROI_098,CU,5.429500230399995,10.6067942945227,204.0,118.55439605706646,1,False,True,0.0055074744295830055,False,False,
ROI_099,CV,7.052301923917471,11.684458698384901,204.0,152.17288793837946,1,False,True,0.05428796223446106,False,False,
ROI_100,CW,2.7784498593296623,11.966025101493244,204.0,65.77029196638301,1,False,True,0.42722265932336745,False,False,
ROI_101,CX,3.340286835325598,11.394619367413952,204.0,61.449146476003335,1,False,True,0.14162077104642015,False,False,
ROI_102,CY,4.697237264776988,14.912418258144697,204.0,121.35704126513951,1,False,True,0.3131392604248623,False,False,
ROI_103,CZ,4.53220179813028,15.194411315450736,203.0,116.71368780788546,1,False,True,0.2958300550747443,False,False,
ROI_104,DA,5.819935589826993,19.699192775858194,204.0,155.5667055965235,1,False,True,0.0,False,False,
ROI_105,DB,4.117074954623722,16.65429877511565,204.0,97.22077557564293,1,False,True,0.011014948859166011,False,False,
ROI_106,DC,4.897927798747065,12.946488458836512,204.0,107.51220883972917,1,False,True,0.07867820613690008,False,False,
ROI_107,DD,5.241330174659532,15.287116200033836,204.0,120.36911962443406,1,False,True,0.06136900078678206,False,False,
ROI_108,DE,6.525717632386782,11.238773741810377,203.0,154.50649983269759,1,False,True,0.023603461841070025,False,False,
ROI_109,DF,3.094128314094325,15.004289735310635,204.0,57.216017107464054,1,False,True,0.32572777340676634,False,False,
ROI_110,DG,,,,-132.18217737021988,0,False,False,0.998426435877262,True,True,majority_negative_normalized_trace
ROI_111,DH,3.07820936343402,12.113885869695537,204.0,58.258855554000924,1,False,True,0.33280881195908735,False,False,
ROI_112,DI,5.694868465470197,12.578202063914318,204.0,133.34286209585315,1,False,True,0.0,False,False,
ROI_113,DJ,2.993903259313363,12.193564442526196,204.0,69.22816539956149,1,False,True,0.09284028324154209,False,False,
ROI_114,DK,6.185411799999988,8.25036496419446,204.0,85.22947939999958,1,False,True,0.0015735641227380016,False,False,
ROI_115,DL,5.971926422918519,14.766512366589097,204.0,126.903995261593,1,False,True,0.003147128245476003,False,False,
ROI_116,DM,2.221358108150062,15.56123099136886,204.0,60.429869787133626,1,False,True,0.04956726986624705,False,False,
ROI_117,DN,6.993518588369783,10.956120549499332,203.0,187.53016437286178,1,False,True,0.007081038552321007,False,False,
ROI_118,DO,6.507942306028146,13.287225846470903,204.0,124.16749335824426,1,False,True,0.07867820613690008,False,False,
ROI_119,DP,6.268835430276526,14.308193651617302,204.0,140.14372248780592,1,False,True,0.0,False,False,
ROI_120,DQ,4.67413185459839,13.101936019466763,204.0,89.52858077309111,1,False,True,0.06451612903225806,False,False,
ROI_121,DR,3.0805248945860053,11.982137731522386,204.0,71.5034345276006,1,False,True,0.023603461841070025,False,False,
ROI_122,DS,2.78766378279484,11.114232728150569,204.0,66.558991411035,1,False,True,0.0,False,False,
ROI_123,DT,2.1259491779829585,9.433390691503092,204.0,43.93241972737843,1,False,True,0.24626278520849726,False,False,
ROI_124,DU,4.062395661797747,10.925669457211939,204.0,70.61947183089853,1,False,True,0.013375295043273014,False,False,
ROI_125,DV,5.5408747027960015,18.198798416096622,204.0,140.97438922591328,1,False,True,0.006294256490952006,False,False,
ROI_126,DW,4.914376130966762,14.521913487845922,204.0,100.87356854930317,1,False,True,0.023603461841070025,False,False,
ROI_127,DX,1.7481236778408282,19.275127167871574,204.0,49.41340261173306,1,False,True,0.2147915027537372,False,False,
ROI_128,DY,4.82294121811125,11.438286482989838,203.0,79.13066873997387,1,False,True,0.14398111723052714,False,False,
ROI_129,DZ,5.89202031490773,9.875200346122512,204.0,123.21626945728127,1,False,True,0.0023603461841070024,False,False,
ROI_130,EA,5.310770509451159,9.238141143444238,204.0,117.15879621673548,1,False,True,0.0007867820613690008,False,False,
ROI_131,EB,4.503660916144096,15.812175489567352,203.0,140.77400884818238,1,False,True,0.05507474429583006,False,False,
ROI_132,EC,4.424755361085962,9.855345064389837,203.0,82.36157957813286,1,False,True,0.03461841070023604,False,False,
ROI_133,ED,4.225968010097085,15.940013666696785,203.0,117.18111295611638,1,False,True,0.0983477576711251,False,False,
ROI_134,EE,5.019803931500495,12.159329524345566,204.0,97.81293798407468,1,False,True,0.08339889850511409,False,False,
